date,close
2012-03-30,1.3342
2012-04-02,1.3319
2012-04-03,1.3232
2012-04-04,1.3141
2012-04-05,1.3064
2012-04-06,1.3095
2012-04-09,1.3105
2012-04-10,1.3081
2012-04-11,1.3109
2012-04-12,1.3187
2012-04-13,1.3077
2012-04-16,1.3141
2012-04-17,1.3126
2012-04-18,1.3122
2012-04-19,1.3136
2012-04-20,1.3218
2012-04-23,1.3155
2012-04-24,1.3196
2012-04-25,1.3215
2012-04-26,1.3217
2012-04-27,1.3251
2012-04-30,1.3239
2012-05-01,1.3237
2012-05-02,1.3157
2012-05-03,1.3151
2012-05-04,1.3082
2012-05-07,1.305
2012-05-08,1.3004
2012-05-09,1.2929
2012-05-10,1.2935
2012-05-11,1.2916
2012-05-14,1.2822
2012-05-15,1.2728
2012-05-16,1.2715
2012-05-17,1.2697
2012-05-18,1.2778
2012-05-21,1.2816
2012-05-22,1.2682
2012-05-23,1.258
2012-05-24,1.2531
2012-05-25,1.2515
2012-05-28,1.254
2012-05-29,1.2502
2012-05-30,1.2365
2012-05-31,1.2363
2012-06-01,1.2433
2012-06-04,1.2498
2012-06-05,1.2451
2012-06-06,1.258
2012-06-07,1.256
2012-06-08,1.2515
2012-06-11,1.2481
2012-06-12,1.2503
2012-06-13,1.2556
2012-06-14,1.2632
2012-06-15,1.2636
2012-06-18,1.2575
2012-06-19,1.2685
2012-06-20,1.2705
2012-06-21,1.2539
2012-06-22,1.2569
2012-06-25,1.2503
2012-06-26,1.249
2012-06-27,1.2468
2012-06-28,1.2442
2012-06-29,1.2666
2012-07-02,1.2574
2012-07-03,1.2606
2012-07-04,1.2525
2012-07-05,1.2391
2012-07-06,1.2286
2012-07-09,1.2311
2012-07-10,1.2249
2012-07-11,1.2238
2012-07-12,1.2202
2012-07-13,1.2248
2012-07-16,1.2271
2012-07-17,1.2294
2012-07-18,1.2283
2012-07-19,1.2279
2012-07-20,1.2155
2012-07-23,1.2117
2012-07-24,1.206
2012-07-25,1.2158
2012-07-26,1.2281
2012-07-27,1.2321
2012-07-30,1.2259
2012-07-31,1.2303
2012-08-01,1.2224
2012-08-02,1.2179
2012-08-03,1.2385
2012-08-06,1.24
2012-08-07,1.2398
2012-08-08,1.2364
2012-08-09,1.2305
2012-08-10,1.229
2012-08-13,1.2332
2012-08-14,1.2321
2012-08-15,1.2289
2012-08-16,1.2355
2012-08-17,1.2336
2012-08-20,1.2343
2012-08-21,1.2472
2012-08-22,1.2528
2012-08-23,1.2562
2012-08-24,1.2511
2012-08-27,1.2498
2012-08-28,1.2564
2012-08-29,1.2529
2012-08-30,1.2506
2012-08-31,1.2573
2012-09-03,1.2592
2012-09-04,1.2565
2012-09-05,1.26
2012-09-06,1.263
2012-09-07,1.2816
2012-09-10,1.2759
2012-09-11,1.2854
2012-09-12,1.2899
2012-09-13,1.2987
2012-09-14,1.3128
2012-09-17,1.3117
2012-09-18,1.30472
2012-09-19,1.30475
2012-09-20,1.2967
2012-09-21,1.29785
2012-09-24,1.29294
2012-09-25,1.29003
2012-09-26,1.2871
2012-09-27,1.2912700000000001
2012-09-28,1.28562
2012-10-01,1.28872
2012-10-02,1.2919100000000001
2012-10-03,1.29047
2012-10-04,1.30168
2012-10-05,1.30324
2012-10-08,1.29675
2012-10-09,1.28833
2012-10-10,1.2873700000000001
2012-10-11,1.29271
2012-10-12,1.29519
2012-10-15,1.29487
2012-10-16,1.30525
2012-10-17,1.31177
2012-10-18,1.30656
2012-10-19,1.3020200000000002
2012-10-22,1.30586
2012-10-23,1.29854
2012-10-24,1.29705
2012-10-25,1.29322
2012-10-26,1.29395
2012-10-29,1.29023
2012-10-30,1.2956
2012-10-31,1.29589
2012-11-01,1.29416
2012-11-02,1.28379
2012-11-05,1.2795100000000001
2012-11-06,1.28129
2012-11-07,1.27701
2012-11-08,1.2745600000000001
2012-11-09,1.2708700000000002
2012-11-12,1.27085
2012-11-13,1.2703200000000001
2012-11-14,1.27344
2012-11-15,1.27785
2012-11-16,1.27396
2012-11-19,1.2812299999999999
2012-11-20,1.28166
2012-11-21,1.28249
2012-11-22,1.28817
2012-11-23,1.29704
2012-11-26,1.29708
2012-11-27,1.29416
2012-11-28,1.29516
2012-11-29,1.29778
2012-11-30,1.29856
2012-12-03,1.30514
2012-12-04,1.30928
2012-12-05,1.3066
2012-12-06,1.29671
2012-12-07,1.2924200000000001
2012-12-10,1.29397
2012-12-11,1.30043
2012-12-12,1.30728
2012-12-13,1.30762
2012-12-14,1.3160399999999999
2012-12-17,1.31621
2012-12-18,1.32266
2012-12-19,1.32261
2012-12-20,1.3243
2012-12-21,1.31882
2012-12-24,1.3191899999999999
2012-12-26,1.32236
2012-12-27,1.32346
2012-12-28,1.32159
2012-12-31,1.3192
2013-01-02,1.31859
2013-01-03,1.3048
2013-01-04,1.30657
2013-01-07,1.31152
2013-01-08,1.30803
2013-01-09,1.30631
2013-01-10,1.3270600000000001
2013-01-11,1.3342100000000001
2013-01-14,1.33799
2013-01-15,1.33039
2013-01-16,1.32879
2013-01-17,1.33723
2013-01-18,1.33175
2013-01-21,1.33115
2013-01-22,1.33205
2013-01-23,1.33171
2013-01-24,1.33752
2013-01-25,1.3461
2013-01-28,1.34544
2013-01-29,1.34903
2013-01-30,1.35661
2013-01-31,1.3576
2013-02-01,1.36386
2013-02-04,1.35113
2013-02-05,1.35808
2013-02-06,1.35195
2013-02-07,1.3396
2013-02-08,1.3362100000000001
2013-02-11,1.3405
2013-02-12,1.3453600000000001
2013-02-13,1.34494
2013-02-14,1.33623
2013-02-15,1.33558
2013-02-18,1.33502
2013-02-19,1.33855
2013-02-20,1.32809
2013-02-21,1.3188
2013-02-22,1.3188799999999998
2013-02-25,1.30611
2013-02-26,1.30598
2013-02-27,1.31378
2013-02-28,1.30555
2013-03-01,1.30178
2013-03-04,1.30247
2013-03-05,1.30503
2013-03-06,1.2965799999999998
2013-03-07,1.31061
2013-03-08,1.30011
2013-03-11,1.3045
2013-03-12,1.30329
2013-03-13,1.296
2013-03-14,1.30031
2013-03-15,1.30716
2013-03-18,1.29549
2013-03-19,1.28797
2013-03-20,1.2931700000000002
2013-03-21,1.2896299999999998
2013-03-22,1.29789
2013-03-25,1.2851700000000001
2013-03-26,1.28599
2013-03-27,1.27793
2013-03-28,1.2815
2013-03-29,1.28154
2013-04-01,1.28465
2013-04-02,1.28175
2013-04-03,1.28465
2013-04-04,1.29352
2013-04-05,1.29919
2013-04-08,1.30073
2013-04-09,1.30813
2013-04-10,1.30691
2013-04-11,1.30978
2013-04-12,1.31056
2013-04-15,1.3032
2013-04-16,1.31752
2013-04-17,1.30281
2013-04-18,1.30481
2013-04-19,1.30504
2013-04-22,1.3065
2013-04-23,1.29913
2013-04-24,1.30145
2013-04-25,1.30108
2013-04-26,1.30284
2013-04-29,1.30968
2013-04-30,1.31669
2013-05-01,1.31782
2013-05-02,1.30646
2013-05-03,1.31131
2013-05-06,1.3075700000000001
2013-05-07,1.30786
2013-05-08,1.31523
2013-05-09,1.3041399999999999
2013-05-10,1.29879
2013-05-13,1.29746
2013-05-14,1.2917
2013-05-15,1.2886
2013-05-16,1.28814
2013-05-17,1.28378
2013-05-20,1.28814
2013-05-21,1.29055
2013-05-22,1.28575
2013-05-23,1.29335
2013-05-24,1.29303
2013-05-27,1.29291
2013-05-28,1.28552
2013-05-29,1.29389
2013-05-30,1.30477
2013-05-31,1.2996299999999998
2013-06-03,1.30775
2013-06-04,1.30806
2013-06-05,1.3092
2013-06-06,1.3245799999999999
2013-06-07,1.32179
2013-06-10,1.32572
2013-06-11,1.33142
2013-06-12,1.33364
2013-06-13,1.3375700000000001
2013-06-14,1.33429
2013-06-17,1.33651
2013-06-18,1.33938
2013-06-19,1.3295
2013-06-20,1.32187
2013-06-21,1.3123
2013-06-24,1.3119100000000001
2013-06-25,1.3082200000000002
2013-06-26,1.30119
2013-06-27,1.30385
2013-06-28,1.30084
2013-07-01,1.30629
2013-07-02,1.29788
2013-07-03,1.301
2013-07-04,1.29132
2013-07-05,1.2831299999999999
2013-07-08,1.28702
2013-07-09,1.27805
2013-07-10,1.2976
2013-07-11,1.30971
2013-07-12,1.3068
2013-07-15,1.30623
2013-07-16,1.31618
2013-07-17,1.31249
2013-07-18,1.31087
2013-07-19,1.31431
2013-07-22,1.31855
2013-07-23,1.32233
2013-07-24,1.32002
2013-07-25,1.32772
2013-07-26,1.32778
2013-07-29,1.32623
2013-07-30,1.3262399999999999
2013-07-31,1.33019
2013-08-01,1.32079
2013-08-02,1.32812
2013-08-05,1.32584
2013-08-06,1.33053
2013-08-07,1.33361
2013-08-08,1.33805
2013-08-09,1.3340299999999998
2013-08-12,1.33
2013-08-13,1.3263200000000002
2013-08-14,1.32544
2013-08-15,1.33445
2013-08-16,1.3326200000000001
2013-08-19,1.3335
2013-08-20,1.3417
2013-08-21,1.3355299999999999
2013-08-22,1.33564
2013-08-23,1.33802
2013-08-26,1.3369
2013-08-27,1.3392899999999999
2013-08-28,1.33395
2013-08-29,1.3240299999999998
2013-08-30,1.32199
2013-09-02,1.31915
2013-09-03,1.31702
2013-09-04,1.3207
2013-09-05,1.31202
2013-09-06,1.31782
2013-09-09,1.32549
2013-09-10,1.3267200000000001
2013-09-11,1.33113
2013-09-12,1.32988
2013-09-13,1.3296700000000001
2013-09-16,1.3334
2013-09-17,1.33591
2013-09-18,1.35226
2013-09-19,1.3529200000000001
2013-09-20,1.3526
2013-09-23,1.3492899999999999
2013-09-24,1.34733
2013-09-25,1.35256
2013-09-26,1.34887
2013-09-27,1.3522
2013-09-30,1.3525399999999999
2013-10-01,1.35255
2013-10-02,1.35786
2013-10-03,1.36184
2013-10-04,1.35553
2013-10-07,1.35812
2013-10-08,1.35735
2013-10-09,1.3524
2013-10-10,1.35196
2013-10-11,1.3542100000000001
2013-10-14,1.35608
2013-10-15,1.35235
2013-10-16,1.35325
2013-10-17,1.36753
2013-10-18,1.36832
2013-10-21,1.36792
2013-10-22,1.3780700000000001
2013-10-23,1.3775600000000001
2013-10-24,1.38012
2013-10-25,1.38016
2013-10-28,1.3785399999999999
2013-10-29,1.3745100000000001
2013-10-30,1.3735600000000001
2013-10-31,1.3583
2013-11-01,1.3487
2013-11-04,1.35143
2013-11-05,1.34742
2013-11-06,1.3513600000000001
2013-11-07,1.34192
2013-11-08,1.33669
2013-11-11,1.34061
2013-11-12,1.34354
2013-11-13,1.34856
2013-11-14,1.34598
2013-11-15,1.34954
2013-11-18,1.35055
2013-11-19,1.35385
2013-11-20,1.3439299999999998
2013-11-21,1.34809
2013-11-22,1.35565
2013-11-25,1.3516700000000001
2013-11-26,1.35724
2013-11-27,1.35795
2013-11-28,1.36045
2013-11-29,1.35903
2013-12-02,1.35417
2013-12-03,1.3589799999999999
2013-12-04,1.35934
2013-12-05,1.36671
2013-12-06,1.3705
2013-12-09,1.37384
2013-12-10,1.37608
2013-12-11,1.3786
2013-12-12,1.37533
2013-12-13,1.37412
2013-12-16,1.3760299999999999
2013-12-17,1.3768
2013-12-18,1.36835
2013-12-19,1.3661
2013-12-20,1.36715
2013-12-23,1.36955
2013-12-24,1.36756
2013-12-26,1.3691
2013-12-27,1.37448
2013-12-30,1.3803299999999998
2013-12-31,1.3749799999999999
2014-01-01,1.3756
2014-01-02,1.36716
2014-01-03,1.35877
2014-01-06,1.36277
2014-01-07,1.36156
2014-01-08,1.35748
2014-01-09,1.36069
2014-01-10,1.36687
2014-01-13,1.36716
2014-01-14,1.36794
2014-01-15,1.3605
2014-01-16,1.36199
2014-01-17,1.35409
2014-01-20,1.35519
2014-01-21,1.35615
2014-01-22,1.3547
2014-01-23,1.36966
2014-01-24,1.36771
2014-01-27,1.36735
2014-01-28,1.367
2014-01-29,1.3664
2014-01-30,1.35545
2014-01-31,1.34864
2014-02-03,1.3525
2014-02-04,1.3518299999999999
2014-02-05,1.35333
2014-02-06,1.3589799999999999
2014-02-07,1.3634700000000002
2014-02-10,1.36453
2014-02-11,1.36374
2014-02-12,1.35932
2014-02-13,1.36804
2014-02-14,1.36927
2014-02-17,1.37066
2014-02-18,1.37586
2014-02-19,1.37331
2014-02-20,1.3718
2014-02-21,1.3738299999999999
2014-02-24,1.3735
2014-02-25,1.3745
2014-02-26,1.36868
2014-02-27,1.3710200000000001
2014-02-28,1.38011
2014-03-03,1.3734899999999999
2014-03-04,1.3741700000000001
2014-03-05,1.37337
2014-03-06,1.38588
2014-03-07,1.3877
2014-03-10,1.3876700000000002
2014-03-11,1.38596
2014-03-12,1.3904100000000001
2014-03-13,1.3869200000000002
2014-03-14,1.39105
2014-03-17,1.3922299999999999
2014-03-18,1.39342
2014-03-19,1.38329
2014-03-20,1.37784
2014-03-21,1.37927
2014-03-24,1.3839700000000001
2014-03-25,1.38256
2014-03-26,1.37845
2014-03-27,1.37408
2014-03-28,1.37524
2014-03-31,1.37713
2014-04-01,1.37919
2014-04-02,1.37668
2014-04-03,1.37202
2014-04-04,1.37027
2014-04-07,1.37414
2014-04-08,1.37973
2014-04-09,1.38553
2014-04-10,1.3887
2014-04-11,1.3885299999999998
2014-04-14,1.38204
2014-04-15,1.3814799999999998
2014-04-16,1.38155
2014-04-17,1.3813600000000001
2014-04-18,1.3814
2014-04-21,1.37939
2014-04-22,1.38052
2014-04-23,1.38173
2014-04-24,1.38321
2014-04-25,1.38345
2014-04-28,1.38514
2014-04-29,1.38123
2014-04-30,1.3867200000000002
2014-05-01,1.38689
2014-05-02,1.38736
2014-05-05,1.38753
2014-05-06,1.3927100000000001
2014-05-07,1.39104
2014-05-08,1.38404
2014-05-09,1.37605
2014-05-12,1.37574
2014-05-13,1.37032
2014-05-14,1.3713899999999999
2014-05-15,1.37101
2014-05-16,1.36951
2014-05-19,1.3709200000000001
2014-05-20,1.37008
2014-05-21,1.36861
2014-05-22,1.36558
2014-05-23,1.36321
2014-05-26,1.3645399999999999
2014-05-27,1.3634899999999999
2014-05-28,1.35906
2014-05-29,1.36014
2014-05-30,1.3632799999999998
2014-06-02,1.35965
2014-06-03,1.36268
2014-06-04,1.3598700000000001
2014-06-05,1.3660299999999999
2014-06-06,1.36427
2014-06-09,1.35938
2014-06-10,1.35466
2014-06-11,1.35311
2014-06-12,1.35527
2014-06-13,1.35404
2014-06-16,1.35735
2014-06-17,1.35471
2014-06-18,1.35953
2014-06-19,1.3607200000000002
2014-06-20,1.3599700000000001
2014-06-23,1.36029
2014-06-24,1.36073
2014-06-25,1.3628200000000001
2014-06-26,1.36116
2014-06-27,1.36486
2014-06-30,1.36925
2014-07-01,1.3679
